Asunto	PERSONAL	Fecha de comienzo	Comienzo	Fecha de finalización	Finalización	CATEGORIA	Description	Location
KICK OFF 2025	MAYOR	1/15/2025	2:00:00 p.m.	1/15/2025	3:30:00 p.m.	SESION FORMATIVA	 Junta Formativa, todo el equipo y coaches, coach Mario, y despues elecciones de capitanes.  	TEATRO
Reacondicionamiento JUV	JUVENIL	1/15/2025	5:00:00 p.m.	1/15/2025	7:00:00 p.m.	S&C		GYM Borregos CEM
Junta General 	COACHES	1/15/2025	10:00:00 a.m.	1/15/2025	11:00:00 a.m.	OFICINA		
Conditioning 	MAYOR	1/16/2025	1:00:00 p.m.	1/16/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
Reacondicionamiento JUV	JUVENIL	1/16/2025	5:00:00 p.m.	1/16/2025	7:00:00 p.m.	S&C		GYM Borregos CEM
Conditioning 	MAYOR	1/17/2025	1:00:00 p.m.	1/17/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
Reacondicionamiento JUV	JUVENIL	1/17/2025	5:00:00 p.m.	1/17/2025	7:00:00 p.m.	S&C		GYM Borregos CEM
Conditioning 	MAYOR	1/20/2025	1:00:00 p.m.	1/20/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
GYM JUV Hipertrofia 	JUVENIL	1/20/2025	5:00:00 p.m.	1/20/2025	7:00:00 p.m.	S&C		GYM Borregos CEM
Conditioning 	MAYOR	1/21/2025	1:00:00 p.m.	1/21/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
CAMPO JUV 	JUVENIL	1/21/2025	5:00:00 p.m.	1/21/2025	7:00:00 p.m.	CAMPO		Campo FBA
Organización del tiempo LM y JUV 	GENERAL	1/22/2025	4:00:00 p.m.	1/22/2025	6:00:00 p.m.	SESION FORMATIVA	WORKSHOP TIME MANAGEMENT	Sala de Alta Dirreción
Conditioning 	MAYOR	1/23/2025	1:00:00 p.m.	1/23/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
GYM JUV Hipertrofia 	JUVENIL	1/23/2025	5:00:00 p.m.	1/23/2025	7:00:00 p.m.	S&C		GYM Borregos CEM
Conditioning 	MAYOR	1/24/2025	1:00:00 p.m.	1/24/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
CAMPO JUV 	JUVENIL	1/24/2025	5:00:00 p.m.	1/24/2025	7:00:00 p.m.	CAMPO		Campo FBA
Conditioning 	MAYOR	1/27/2025	1:00:00 p.m.	1/27/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
GYM JUV Hipertrofia 	JUVENIL	1/27/2025	5:00:00 p.m.	1/27/2025	7:00:00 p.m.	S&C		GYM Borregos CEM
Conditioning 	MAYOR	1/28/2025	1:00:00 p.m.	1/28/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
CAMPO JUV 	JUVENIL	1/28/2025	5:00:00 p.m.	1/28/2025	7:00:00 p.m.	CAMPO		Campo FBA
Alberca LM 	MAYOR	1/29/2025	1:00:00 p.m.	1/29/2025	3:00:00 p.m.	S&C		Alberca CEM 
Prevención y uso de Sustancias LM Y JUV  	GENERAL	1/29/2025	4:00:00 p.m.	1/29/2025	6:00:00 p.m.	SESION FORMATIVA		Por definir 
Conditioning 	MAYOR	1/30/2025	1:00:00 p.m.	1/30/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
GYM JUV OFENSA /CAMPO DEFENSA	JUVENIL	1/30/2025	4:30:00 p.m.	1/30/2025	6:30:00 p.m.	CAMPO		GYM Borregos CEM
Conditioning 	MAYOR	1/31/2025	1:00:00 p.m.	1/31/2025	3:00:00 p.m.	S&C	Preparatorio general por 3 semanas.  	GYM Borregos CEM
GYM JUV OFENSA/DEFENSA	JUVENIL	1/31/2025	4:30:00 p.m.	1/31/2025	6:30:00 p.m.	S&C		Campo FBA
Asueto 	MAYOR	2/3/2025	12:00:00 a.m.	2/3/2025	11:30:00 p.m.	ASUETO		Reunión de Microsoft Teams
Test Conditioning 	MAYOR	2/4/2025	1:00:00 p.m.	2/4/2025	3:00:00 p.m.	S&C	Pruebas:  Bench Press  Squad  Celan  40 yds 	GYM Borregos CEM
Sesión Formativa 		2/4/2025	4:00:00 p.m.	2/4/2025	5:00:00 p.m.			Tunel ; FBA 
Gym JUV OFENSA /DEFENSA	JUVENIL	2/4/2025	4:30:00 p.m.	2/4/2025	6:30:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	GYM Borregos CEM
Test Conditioning 	MAYOR	2/5/2025	1:00:00 p.m.	2/5/2025	3:00:00 p.m.	S&C	Pruebas:  Bench Press  Squad  Celan  40 yds 	GYM Borregos CEM
CAMPO JUV 	JUVENIL	2/5/2025	4:30:00 p.m.	2/5/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
Ultimo Dia Invierno 	MAYOR	2/6/2025	8:00:00 a.m.	2/6/2025	8:30:00 a.m.	ACADEMICO		
